id,run,mapped_ms,settled_ms,pss_kb,cpu_s,child_pss_kb,thumbs_n,pss_anon_kb,uss_kb,drm_kb,thumbs_by_dir,cpu_tree_s,thumbs_by_format,ranked,preview_ms
pcmanfm,3,396,-1,41422,39.61,0,604,17104,28744,0,fail=0;large=0;normal=604,90.89,heic=0;jpg=0;mkv=0;mp4=400;png=104;txt=0;webm=100;webp=0;unknown=0,yes,-
nemo,3,765,3372,57316,2.22,0,60,30540,44580,0,fail=0;large=60,5.21,heic=0;jpg=45;mkv=0;mp4=0;png=0;txt=0;webm=0;webp=15;unknown=0,yes,-
dolphin,3,672,14596,105112,3.27,0,552,41700,84080,0,fail=0;large=0;normal=552,68.58,heic=0;jpg=50;mkv=84;mp4=335;png=0;txt=0;webm=83;webp=0;unknown=0,yes,-
strata,3,783,30777,70254,1.47,0,0,37420,65068,95712,fail=0;large=0,1.78,none=0,unranked: no thumbnails on a media run,-
yazi,3,273,2033,51443,0.32,0,n/a,34804,51180,0,fail=0;large=0,1.16,n/a,n/a: tui in kitty,752
mc,3,275,863,5696,0.05,0,n/a,3548,5256,0,fail=0;large=0,0.05,n/a,n/a: tui in kitty,-1
broot,3,278,557,12017,0.05,0,n/a,5304,11888,0,fail=0;large=0,0.05,n/a,n/a: tui in kitty,676
nnn,3,274,491,2686,0.03,0,n/a,2056,2512,0,fail=0;large=0,0.03,n/a,n/a: tui in kitty,741
lf,3,261,1744,70581,1.05,0,n/a,67684,68300,0,fail=0;large=0,1.05,n/a,n/a: tui in kitty,735
ranger,3,297,1015,28719,0.30,0,n/a,26064,26752,0,fail=0;large=0,0.31,n/a,n/a: tui in kitty,1133
xplr,3,274,580,13830,0.17,0,n/a,9112,13460,0,fail=0;large=0,0.17,n/a,n/a: tui in kitty,-1
superfile,3,291,1132,159384,0.46,0,n/a,144640,159268,0,fail=0;large=0,0.91,n/a,n/a: tui in kitty,-1
